[2024-08-22 09:33:23,158][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-08-22-09-33-23-158290.log
[2024-08-22 09:33:23,161][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-23-159966.html
[2024-08-22 09:33:35,179][basic_search][INFO][generic_smbo.py:310] Iter 183, objectives: [4284948.0].
[2024-08-22 09:33:35,253][basic_search][INFO][generic_smbo.py:310] Iter 184, objectives: [4061089.0].
[2024-08-22 09:33:35,327][basic_search][INFO][generic_smbo.py:310] Iter 185, objectives: [3831005.0].
[2024-08-22 09:33:35,398][basic_search][INFO][generic_smbo.py:310] Iter 186, objectives: [3665236.0].
[2024-08-22 09:33:35,530][basic_search][INFO][generic_smbo.py:310] Iter 187, objectives: [3856190.0].
[2024-08-22 09:33:35,608][basic_search][INFO][generic_smbo.py:310] Iter 188, objectives: [3678613.0].
[2024-08-22 09:33:35,686][basic_search][INFO][generic_smbo.py:310] Iter 189, objectives: [4093960.0].
[2024-08-22 09:33:35,758][basic_search][INFO][generic_smbo.py:310] Iter 190, objectives: [3616375.0].
[2024-08-22 09:33:35,901][basic_search][INFO][generic_smbo.py:310] Iter 191, objectives: [3421571.0].
[2024-08-22 09:33:35,997][basic_search][INFO][generic_smbo.py:310] Iter 192, objectives: [3462766.0].
[2024-08-22 09:33:36,145][basic_search][INFO][generic_smbo.py:310] Iter 193, objectives: [4075397.0].
[2024-08-22 09:33:36,225][basic_search][INFO][generic_smbo.py:310] Iter 194, objectives: [4307336.0].
[2024-08-22 09:33:36,302][basic_search][INFO][generic_smbo.py:310] Iter 195, objectives: [4094260.0].
[2024-08-22 09:33:36,380][basic_search][INFO][generic_smbo.py:310] Iter 196, objectives: [4054416.0].
[2024-08-22 09:33:36,460][basic_search][INFO][generic_smbo.py:310] Iter 197, objectives: [4241506.0].
[2024-08-22 09:33:36,600][basic_search][INFO][generic_smbo.py:310] Iter 198, objectives: [3837341.0].
[2024-08-22 09:33:36,678][basic_search][INFO][generic_smbo.py:310] Iter 199, objectives: [3911730.0].
[2024-08-22 09:33:36,924][basic_search][INFO][generic_smbo.py:310] Iter 200, objectives: [3727789.0].
[2024-08-22 09:33:37,084][basic_search][INFO][html_visualizer.py:96] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-23-159966.html
